,software,categories
3960,Pimcore,"['Data Mapping', 'Digital Experience Platforms (DXP)', 'Product Information Management (PIM)', 'Master Data Management (MDM)', 'Digital Asset Management', 'Web Content Management', 'E-Commerce Platforms', 'Headless CMS', 'Customer Data Platform (CDP)']"
3961,Pimly,"['Salesforce AppExchange Apps', 'Catalog Management', 'Product Information Management (PIM)']"
3962,Pinecone,['Vector Database']
3963,Ping,['Meeting Room Booking Systems']
3964,PingDataGovernance,"['API Security', 'Single Sign-On (SSO)', 'Multi-Factor Authentication (MFA)', 'Data-Centric Security']"
3965,Pingboard,"['Team Building', 'Org Chart', 'Employee Recognition', 'Diagramming', 'Employee Engagement']"
3966,Pipeful,"['Outsourced Sales Providers', 'Email Marketing Services', 'Lead Generation Services']"
3967,PipelineManager,"['Oil and Gas Back Office', 'Other Oil and Gas']"
3968,PitchBook,['Financial Research']
3969,PivotData REST Service,['Other Analytics']
3970,Pivotal Gemfire,['Key Value Databases']
3971,Piwik PRO,"['Tag Management Systems', 'Customer Journey Analytics', 'Customer Data Platform (CDP)', 'Digital Analytics', 'Consent Management Platform (CMP)']"
3972,PlaceIQ,['Location Intelligence']
3973,Placekey API,['Address Verification']
3974,PlagiaShield,['Plagiarism Checker']
3975,Plaid,"['Financial Data APIs', 'Identity Verification', 'Unified APIs']"
3976,PlaidCloud,"['SAP Store', 'Financial Analytics', 'Supply Chain Cost-To-Serve Analytics']"
3977,PlanIt,['Project Management Tools']
3978,PlanetScale,['Amazon Web Services Channel Partners']
3979,Planfix,"['Workflow Management', 'Task Management', 'CRM']"
3980,Planforge (formerly ONEPOINT Projects),"['Project and Portfolio Management', 'Resource Management']"
3981,Planhat,"['Client Onboarding', 'Client Portal', 'Customer Revenue Optimization', 'Product Analytics', 'Subscription Revenue Management', 'Customer Data Platform (CDP)', 'Customer Success', 'Data Quality', 'Customer Journey Mapping']"
3982,Platform Equinix,"['WAN Optimization', 'Data Center Networking', 'Data Center Infrastructure Management (DCIM)']"
3983,Plauti Data Management,"['Master Data Management (MDM)', 'Data Management Platform (DMP)', 'Data Quality', 'Salesforce AppExchange Apps']"
3984,Playment,['Data Labeling']
3985,Playvox Customer AI,"['Feedback Analytics', 'Text Analysis', 'Enterprise Feedback Management']"
3986,Plecto,"['Sales Performance Management', 'Data Visualization', 'Sales Gamification']"
3987,Plerdy,"['Pop-Up Builder', 'Session Replay', 'Heatmap Tools', 'SEO Tools', 'Digital Analytics', 'A/B Testing']"
3988,Plexus,['Other Analytics']
3989,Plum,"['Succession Planning', 'Candidate Relationship Management', 'Diversity Recruiting', 'Career Management', 'Recruiting Automation', 'Talent Assessment', 'SAP Store']"
3990,Plumsail Forms,['Online Form Builder']
3991,Pluralsight Flow,"['Software Development Analytics Tools', 'Value Stream Management']"
3992,Plutoshift,"['MLOps Platforms', 'IoT Analytics Platforms', 'Manufacturing Intelligence', 'Predictive Analytics', 'Time Series Intelligence']"
3993,Pocket Result,['Data Visualization']
3994,Pocus,"['AI Sales Assistant', 'Lead Scoring']"
3995,Podcastdb,['Other Digital Advertising']
3996,Podchaser Pro,['Media and Influencer Targeting']
3997,Poimapper,['Field Service Management']
3998,PointClickCare Skilled Nursing Platform,"['EHR', 'Revenue Cycle Management', 'Value-Based Performance Management Analytics', 'Home Care Agency Management']"
3999,Polar Analytics,"['Marketing Analytics', 'E-Commerce Analytics']"
4000,Polaris Sheet,['Spreadsheets']
4001,PoliSys,"['Police Records Management System (RMS)', 'Emergency Medical Services']"
4002,Poltio,"['E-Commerce Personalization', 'Online Form Builder', 'Lead Capture', 'Survey', 'Digital Advertising Intelligence']"
4003,PoolParty,"['Text Analysis', 'Machine Learning Data Catalog']"
4004,PopSQL,"['Database Management Systems (DBMS)', 'Data Visualization', 'Embedded Business Intelligence', 'Data Science and Machine Learning Platforms', 'Other Integrated Development Environments (IDE)', 'Analytics Platforms']"
4005,Porter,['Google Workspace for Marketing']
4006,Posit,"['Statistical Analysis', 'Big Data Processing and Distribution', 'Data Science and Machine Learning Platforms', 'Analytics Platforms']"
4007,PostGrid Address Verification,['Address Verification']
4008,PostgreSQL,['Relational Databases']
4009,PostgreSQL Migration Toolkit,['Cloud Migration']
4010,Postico,['Relational Databases']
4011,Powens,['Financial Data APIs']
4012,Power BI Consulting Services,['Microsoft Consulting Services']
4013,Power BI Documenter,['Other Analytics']
4014,Power My Analytics,['Google Workspace for Marketing']
4015,Power Sound Editor,['Audio Editing']
4016,Power Tools for G Suite,['Google Workspace Office Tools']
4017,PowerBI for PureCloud,['Genesys AppFoundry Marketplace']
4018,PowerBuilder,['Other Development']
4019,PowerChart Touch,['Clinical Documentation']
4020,PowerMetrics,['Data Visualization']
4021,PowerOn,['Other Finance \\u0026 Insurance']
4022,PowerSchool Unified Insights,['School Management']
4023,PowerToFly,"['Job Search Sites', 'Diversity Recruiting', 'Recruitment Marketing']"
4024,Powerbuilder,['Other Development Services']
4025,Powerslide,['Data Visualization']
4026,Pradeo Security,"['Mobile Application Management', 'Mobile Data Security']"
4027,Pramata,"['Contract Analytics', 'Contract Management', 'Contract Lifecycle Management (CLM)']"
4028,PraxiSchool,"['Other Education', 'K-12 Student Information Systems', 'Education Finance Software', 'Education ERP Suites']"
4029,Precise,['Application Performance Monitoring (APM)']
4030,Precisely Points of Interest,['Location Intelligence']
4031,PrecisionAnalytics,['Drone Analytics']
4032,Precog,['ETL Tools']
4033,PrediCX,"['Feedback Analytics', 'SAP Store']"
4034,PredictAP,"['Invoice Management', 'AP Automation']"
4035,PredictEasy,['Other Analytics']
4036,Predictly,['Data Labeling']
4037,Preely,['Other HR']
4038,Prefect,['Workload Automation']
4039,Prefixbox,"['E-Merchandising', 'E-Commerce Analytics', 'E-Commerce Personalization', 'E-Commerce Search']"
4040,Premise,['Retail Intelligence']
4041,Premonix,['Digital Analytics']
4042,Prepr,['Headless CMS']
4043,Prescryptive,['Benefits Support']
4044,Presentation Manager,['Church Presentation']
4045,Preside,"['Digital Experience Platforms (DXP)', 'Web Content Management']"
4046,Pressure Explorer,['Exploration']
4047,PrestoAPI,"['API Management', 'API Generation']"
4048,PrestoDB,['Relational Databases']
4049,Prey,"['Endpoint Management', 'Mobile Device Management (MDM)', 'IT Asset Management', 'Mobile Data Security']"
4050,Price2Spy,"['Pricing', 'Retail Pricing', 'Brand Protection']"
4051,PriceLab,['Retail Pricing']
4052,PriceSpider Where to Buy,"['E-Commerce Analytics', 'Store Locator', 'Multichannel Retail', 'Social Commerce Platforms']"
4053,Pricer24,['Pricing']
4054,Pricing HUB,['Retail Pricing']
4055,Prime HRMS,"['Core HR', 'Payroll', 'Time Tracking', 'Time \\u0026 Attendance']"
4056,Primer (Sayprimer.com),"['Lead Intelligence', 'Account-Based Orchestration Platforms', 'Marketing Account Intelligence', 'Buyer Intent Data Providers']"
4057,Princeton Digital Group,['Data Center Infrastructure Management (DCIM)']
4058,PrintFleet,['Managed Print Services']
4059,Priority Engine,"['Buyer Intent Data Providers', 'Marketing Account Intelligence', 'Sales Intelligence']"
4060,Prisma Cloud,"['Container Security', 'Cloud Workload Protection Platforms', 'Cloud Data Security', 'DNS Security Solutions', 'Cloud Compliance', 'Extended Detection and Response (XDR) Platforms', 'Cloud Security Posture Management (CSPM)', 'Microsegmentation', 'Cloud-Native Application Protection Platform (CNAPP)', 'Cloud Infrastructure Entitlement Management (CIEM)']"
4061,Pristo,['Online Form Builder']
4062,PrivIQ - Data Privacy and Protection compliance management,"['Privacy Impact Assessment (PIA)', 'Data Breach Notification', 'Data Privacy Management', 'Data Subject Access Request (DSAR)']"
4063,Privacy Analytics Eclipse,['Data De-Identification']
4064,Privacy Insights,"['Data Subject Access Request (DSAR)', 'Privacy Impact Assessment (PIA)']"
4065,Privacy Tools,"['Data Privacy Management', 'Data Subject Access Request (DSAR)', 'Consent Management Platform (CMP)']"
4066,Privacy Vault,['Data De-Identification']
4067,Privacy1,"['Data Subject Access Request (DSAR)', 'Privacy Impact Assessment (PIA)', 'Data De-Identification', 'Data Governance', 'Consent Management Platform (CMP)', 'AWS Marketplace', 'Data Privacy Management']"
4068,PrivacyEngine,"['Vendor Security and Privacy Assessment', 'Privacy Policy Generator', 'Data Breach Notification', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Sensitive Data Discovery']"
4069,Privacyboard,"['Privacy Policy Generator', 'Data Subject Access Request (DSAR)']"
4070,Privado,"['Cookie Tracking', 'Privacy Impact Assessment (PIA)']"
4071,Private Cloud,['Virtual Private Cloud (VPC)']
4072,Pro Backup,['Online Backup']
4073,ProDiscovery,['Process Mining']
4074,ProManage,"['Online Marketplace Optimization Tools', 'Local Listing Management', 'Chatbots', 'Local SEO', 'Online Reputation Management', 'Multi-Location Marketing Platforms']"
4075,ProMed,['Healthcare Analytics']
4076,ProSeries Tax,['Corporate Tax']
4077,ProWebScraper,['Data Extraction']
4078,ProcurePort Spend Analysis,['Accounts Payable (AP) and Spend Analysis']
4079,ProdPerfect,"['Automation Testing', 'Software Testing']"
4080,ProductStream,['Drop Shipping']
4081,Productfy,['Financial Data APIs']
4082,Profisee,['Master Data Management (MDM)']
4083,ProfitCents,"['Corporate Performance Management (CPM)', 'Financial Analysis']"
4084,ProfitSword,"['Corporate Performance Management (CPM)', 'Data Visualization']"
4085,Progeny LIMS,"['LIMS', 'Lab Inventory Management']"
4086,Progress OpenEdge,"['Database Monitoring', 'Enterprise Architecture Tools', 'Container Orchestration', 'ALM Software Suites', 'Continuous Delivery', 'Low-Code Development Platforms', 'Continuous Integration', 'Relational Databases', 'Application Server', 'Requirements Management', 'Application Development Platforms']"
4087,Progress Sitefinity,"['Digital Experience Platforms (DXP)', 'Web Content Management', 'WebOps Platforms']"
4088,Project Calico,"['Data Center Networking', 'Container Networking']"
4089,Project Database,['Construction CRM']
4090,Project Management Centre,"['Oracle Database Resellers', 'Oracle Primavera Resellers']"
4091,ProjectMark CRM,['Construction CRM']
4092,ProjectShare.com,['Project Collaboration']
4093,ProjectWise,['Capital Project Management']
4094,Projectmates,"['Construction Project Management', 'Construction Drawing Management', 'Construction Data Analytics', 'Capital Project Management', 'Bid Management']"
4095,Projectric,['Project and Portfolio Management']
4096,Prokraya,"['Accounts Payable (AP) and Spend Analysis', 'Spend Management', 'Invoice Management', 'Purchasing', 'Procure to Pay', 'Strategic Sourcing', 'Supplier Relationship Management (SRM)']"
4097,Prometheus,"['Container Monitoring', 'Database Management Systems (DBMS)', 'Time Series Databases']"
4098,Promethium,"['Analytics Platforms', 'Machine Learning Data Catalog', 'Data Fabric']"
4099,Prometics,['Financial Analytics']
4100,Propellor,"['Marketing Automation', 'Customer Data Platform (CDP)']"
4101,Propensity,"['Account-Based Web and Content Experiences', 'Account-Based Advertising', 'Account-Based Orchestration Platforms', 'Buyer Intent Data Providers', 'Account-Based Execution', 'Account-Based Analytics', 'Account Data Management']"
4102,ProperConvert app,['Other Finance \\u0026 Admin.']
4103,PropertyRadar,"['Property Intelligence', 'Real Estate Activities Management']"
4104,PropertyScout.io,['Property Intelligence']
4105,Prophecy,"['Big Data Integration Platforms', 'ETL Tools', 'Big Data Processing and Distribution', 'Low-Code Development Platforms']"
4106,Prophet CRM,"['CRM', 'Email Tracking', 'Sales Performance Management']"
4107,Prophia,"['Lease Administration', 'Property Intelligence', 'Real Estate Investment Management']"
4108,Proplanet PIM,['Product Information Management (PIM)']
4109,Prospect Direct,['Other Lead Generation']
4110,ProspectCloud,['Lead Generation Services']
4111,ProspectNow,['Multiple Listing Service (MLS)']
4112,Prospectoo,['Lead Intelligence']
4113,Prospety,['Other Social Media']
4114,Protech AMS,['Association Management']
4115,Proton,"['AI Sales Assistant', 'CRM', 'E-Commerce Personalization']"
4116,Protonet SOUL,['Project Collaboration']
4117,Provalis Research QDA Miner,['Text Analysis']
4118,Provenir,['Financial Risk Management']
4119,Proxem Software,['Text Analysis']
4120,ProxyEmpire,['Proxy Network']
4121,ProxySG and Advanced Secure Gateway (ASG),"['Secure Web Gateways', 'Cloud Edge Security']"
4122,PtMS,['Public Transportation']
4123,PubNub,"['Event Stream Processing', 'Stream Analytics', 'Communication Platform as a Service', 'ALM Software Suites', 'Video Platform as a Service (VPaaS)']"
4124,Pudding.ai,['Other Digital Advertising']
4125,Pulse Technology,"['Online Form Builder', 'CRM']"
4126,Pure1,"['Predictive Analytics', 'AIOps Platforms']"
4127,PureCars,"['Automotive Marketing', 'Automotive Digital Retailing']"
4128,PureDome,"['Confidentiality', 'Application Security', 'Cloud Security', 'Business VPN', 'Network Security', 'Zero Trust Networking', 'System Security']"
4129,PureInsights Historic for Genesys Cloud,"['Data Warehouse', 'Genesys AppFoundry Marketplace']"
4130,Pureprofile,['Survey']
4131,PurpleCube,['Data Fabric']
4132,PushMetrics,['Other Analytics']
4133,PushSpring,['Mobile Marketing']
4134,PyjamaHR,['Applicant Tracking Systems (ATS)']
4135,Pyramid,"['Analytics Platforms', 'Data Science and Machine Learning Platforms']"
4136,Q Research Software by Displayr,"['Statistical Analysis', 'Text Analysis', 'Analytics Platforms', 'Data Visualization']"
4137,Q2 Open,['Financial Data APIs']
4138,QCBD,"['Quality Management (QMS)', 'Medical QMS']"
4139,QFlow.ai,['Sales Analytics']
4140,QGIS,['GIS']
4141,QPage,"['Applicant Tracking Systems (ATS)', 'Recruiting Automation']"
4142,QPe,['E-Commerce Platforms']
4143,QR Lead Capture,['Lead Capture']
4144,QR TIGER,['QR Code Generator']
4145,QTS Data Centers,['Data Center Infrastructure Management (DCIM)']
4146,QTS Service Delivery Platform,['Data Center Infrastructure Management (DCIM)']
4147,QTS Switchboard,['Data Center Networking']
4148,QTrak,['Package Tracking']
4149,QaizenX,['Enterprise Feedback Management']
4150,Qapter,['Auto Repair']
4151,Qbo,['Analytics Platforms']
4152,Qbserve,['Time Tracking']
4153,Qeymetrics,['Data Visualization']
4154,Qlik AutoML,"['Data Science and Machine Learning Platforms', 'Predictive Analytics']"
4155,Qlik Catalog,"['Machine Learning Data Catalog', 'On-Premise Data Integration', 'Data Preparation', 'Data Governance', 'Big Data Processing and Distribution', 'Big Data Integration Platforms', 'Active Metadata Management']"
4156,Qlik Compose,['ETL Tools']
4157,Qlik Data Integration,['Other Product Suites']
4158,Qlik Data Integration Platform,['Data Warehouse Automation']
4159,Qlik Gold,"['Data Warehouse Automation', 'Data Masking']"
4160,Qlik Replicate,"['ETL Tools', 'On-Premise Data Integration', 'Block Storage', 'Data Replication']"
4161,Qlik Sense,"['Location Intelligence', 'Chatbots', 'Productivity Bots', 'Embedded Business Intelligence', 'Analytics Platforms', 'Predictive Analytics', 'Data Warehouse Automation']"
4162,QlikView,"['Embedded Business Intelligence', 'Analytics Platforms', 'Location Intelligence']"
4163,Qonversion,"['Subscription Analytics', 'Mobile App Analytics', 'Subscription Revenue Management']"
4164,QoreStor,['Disaster Recovery as a Service (DRaaS)']
4165,Qoruz,['Influencer Marketing Platforms']
4166,Qovery,"['Continuous Integration', 'DevOps Platforms', 'Cloud Infrastructure Automation', 'Continuous Delivery']"
4167,Qrvey,"['Analytics Platforms', 'Embedded Business Intelligence']"
4168,Qstream,"['Microlearning Platforms', 'Sales Training and Onboarding', 'Sales Coaching', 'Sales Performance Management']"
4169,QuaLIS LIMS,"['LIMS', 'Other Laboratory']"
